"Geography","county","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"0500000US16087","Washington","ID",10612,0.846,0.002,0.003,0.001,0.002,0.067,0.078,0.164,50046,0.902,0.175
"0500000US17001","Adams","IL",65583,0.915,0.039,0.001,0.007,0,0.004,0.034,0.018,63767,0.933,0.269
"0500000US17003","Alexander","IL",5261,0.635,0.332,0,0.002,0.003,0,0.027,0.01,40365,0.864,0.103
"0500000US17005","Bond","IL",16750,0.887,0.071,0.008,0.005,0,0.003,0.026,0.038,58617,0.889,0.211
"0500000US17007","Boone","IL",53459,0.793,0.026,0.003,0.009,0,0.088,0.081,0.235,80502,0.866,0.24
"0500000US17009","Brown","IL",6334,0.782,0.166,0.005,0,0,0.025,0.021,0.069,64760,0.803,0.14
"0500000US17011","Bureau","IL",33203,0.904,0.006,0.001,0.009,0,0.039,0.041,0.099,64165,0.903,0.215
"0500000US17013","Calhoun","IL",4472,0.951,0.007,0.002,0,0,0,0.038,0.008,88059,0.92,0.195
"0500000US17015","Carroll","IL",15594,0.915,0.034,0.003,0.007,0,0.007,0.035,0.046,61539,0.884,0.187
"0500000US17017","Cass","IL",12955,0.822,0.036,0.009,0.008,0.008,0.051,0.066,0.203,64826,0.862,0.192
"0500000US17019","Champaign","IL",206525,0.683,0.132,0.001,0.11,0,0.016,0.057,0.065,61090,0.947,0.456
"0500000US17021","Christian","IL",33893,0.943,0.026,0.001,0.007,0,0.003,0.019,0.02,56933,0.904,0.172
"0500000US17023","Clark","IL",15467,0.962,0.008,0,0.002,0,0,0.027,0.017,65874,0.922,0.244
"0500000US17025","Clay","IL",13248,0.955,0.005,0.006,0.003,0,0.002,0.03,0.002,58028,0.881,0.15
"0500000US17027","Clinton","IL",36998,0.919,0.03,0,0.006,0,0.008,0.036,0.033,78054,0.92,0.236
"0500000US17029","Coles","IL",47076,0.915,0.036,0.001,0.011,0,0.007,0.031,0.029,53732,0.919,0.27
"0500000US17031","Cook","IL",5225367,0.494,0.228,0.006,0.077,0,0.105,0.09,0.259,78304,0.882,0.413
"0500000US17033","Crawford","IL",18729,0.921,0.045,0.008,0.004,0,0.002,0.02,0.025,64163,0.886,0.189
"0500000US17035","Cumberland","IL",10447,0.962,0.001,0,0.001,0,0.014,0.022,0.017,71274,0.934,0.177
"0500000US17037","DeKalb","IL",100686,0.792,0.077,0.004,0.024,0,0.037,0.065,0.123,68617,0.93,0.341
"0500000US17039","De Witt","IL",15535,0.952,0.009,0.003,0.002,0,0.006,0.028,0.03,61823,0.942,0.215
"0500000US17041","Douglas","IL",19714,0.924,0.012,0.004,0.006,0,0.012,0.043,0.076,67177,0.848,0.199
"0500000US17043","DuPage","IL",930559,0.7,0.049,0.003,0.126,0,0.046,0.076,0.148,107035,0.935,0.511
"0500000US17045","Edgar","IL",16852,0.967,0.007,0,0.004,0,0.008,0.014,0.013,56687,0.879,0.188
"0500000US17047","Edwards","IL",6182,0.962,0.001,0.006,0.004,0,0.002,0.025,0.014,60784,0.911,0.139
"0500000US17049","Effingham","IL",34594,0.966,0.006,0,0.007,0,0.005,0.015,0.022,73181,0.935,0.259
"0500000US17051","Fayette","IL",21464,0.902,0.035,0.004,0.005,0.004,0.002,0.048,0.023,51962,0.866,0.148
"0500000US17053","Ford","IL",13484,0.919,0.007,0.001,0.007,0,0.025,0.041,0.041,58930,0.917,0.198
"0500000US17055","Franklin","IL",37810,0.956,0.004,0.001,0.003,0,0.002,0.035,0.019,51031,0.899,0.177
"0500000US17057","Fulton","IL",33691,0.932,0.027,0.007,0.003,0,0.009,0.022,0.029,57223,0.899,0.177
"0500000US17059","Gallatin","IL",4967,0.941,0.003,0.004,0.001,0,0.001,0.05,0.003,51868,0.872,0.124
"0500000US17061","Greene","IL",12015,0.967,0.009,0.001,0.002,0,0.004,0.017,0.013,58900,0.904,0.154
"0500000US17063","Grundy","IL",52624,0.906,0.018,0.001,0.006,0,0.03,0.039,0.109,89993,0.94,0.257
"0500000US17065","Hamilton","IL",8008,0.962,0.001,0.002,0.004,0.003,0.011,0.018,0.02,60574,0.863,0.172
"0500000US17067","Hancock","IL",17582,0.958,0.007,0.001,0.003,0,0.005,0.025,0.018,61026,0.944,0.246
"0500000US17069","Hardin","IL",3665,0.978,0.011,0,0,0,0.002,0.009,0.01,53026,0.873,0.12
"0500000US17071","Henderson","IL",6374,0.955,0.002,0,0,0,0.012,0.031,0.019,64946,0.93,0.207
"0500000US17073","Henry","IL",49157,0.901,0.022,0,0.005,0,0.027,0.045,0.062,66313,0.925,0.247
"0500000US17075","Iroquois","IL",27043,0.906,0.01,0.001,0.003,0,0.04,0.04,0.076,62866,0.887,0.176
"0500000US17077","Jackson","IL",53176,0.741,0.145,0.001,0.036,0.002,0.027,0.047,0.047,44847,0.918,0.352
"0500000US17079","Jasper","IL",9295,0.965,0.002,0,0.001,0,0.007,0.024,0.018,67429,0.933,0.214
"0500000US17081","Jefferson","IL",37043,0.855,0.065,0.002,0.011,0,0.004,0.062,0.029,58384,0.906,0.181
"0500000US17083","Jersey","IL",21462,0.958,0.007,0,0.006,0.002,0.002,0.025,0.015,77607,0.933,0.218
"0500000US17085","Jo Daviess","IL",21942,0.948,0.008,0.002,0.006,0.001,0.005,0.031,0.033,67729,0.935,0.279
"0500000US17087","Johnson","IL",13313,0.829,0.088,0,0.003,0,0.01,0.069,0.04,63295,0.846,0.166
"0500000US17089","Kane","IL",517254,0.661,0.052,0.008,0.039,0.001,0.126,0.112,0.326,96400,0.865,0.363
"0500000US17091","Kankakee","IL",107421,0.756,0.145,0.005,0.01,0,0.03,0.054,0.115,65489,0.899,0.203
"0500000US17093","Kendall","IL",132795,0.736,0.08,0.003,0.03,0,0.055,0.096,0.21,106358,0.934,0.358
"0500000US17095","Knox","IL",49751,0.837,0.082,0.001,0.01,0,0.026,0.045,0.062,50263,0.888,0.204
"0500000US17097","Lake","IL",713159,0.671,0.068,0.007,0.085,0.001,0.075,0.094,0.228,104553,0.908,0.469
"0500000US17099","LaSalle","IL",109495,0.883,0.028,0,0.009,0,0.035,0.046,0.105,67942,0.911,0.184
"0500000US17101","Lawrence","IL",15302,0.862,0.08,0.002,0.004,0,0.008,0.043,0.023,55811,0.852,0.141
"0500000US17103","Lee","IL",34221,0.881,0.053,0,0.006,0,0.01,0.05,0.068,64588,0.9,0.189
"0500000US17105","Livingston","IL",35771,0.914,0.036,0,0.005,0,0.014,0.031,0.051,68175,0.905,0.187
"0500000US17107","Logan","IL",28027,0.887,0.06,0.002,0.003,0,0.004,0.043,0.035,62547,0.915,0.202
"0500000US17109","McDonough","IL",27370,0.881,0.053,0,0.025,0,0.007,0.033,0.03,48904,0.944,0.312
"0500000US17111","McHenry","IL",311133,0.86,0.015,0.002,0.029,0,0.021,0.073,0.143,100101,0.939,0.353
"0500000US17113","McLean","IL",171284,0.81,0.085,0.002,0.051,0,0.011,0.042,0.053,75356,0.959,0.46
"0500000US17115","Macon","IL",103542,0.76,0.17,0,0.014,0.001,0.008,0.046,0.025,59622,0.924,0.239
"0500000US17117","Macoupin","IL",44907,0.953,0.011,0.001,0.005,0,0.005,0.024,0.013,64706,0.91,0.193
"0500000US17119","Madison","IL",265512,0.85,0.086,0.001,0.01,0,0.008,0.045,0.037,71759,0.933,0.294
"0500000US17121","Marion","IL",37543,0.911,0.043,0,0.007,0,0.005,0.033,0.022,59099,0.9,0.167
"0500000US17123","Marshall","IL",11740,0.944,0.006,0,0.002,0,0.011,0.037,0.031,64940,0.92,0.174
"0500000US17125","Mason","IL",13074,0.964,0.005,0.001,0.003,0,0.004,0.023,0.014,58479,0.913,0.173
"0500000US17127","Massac","IL",14135,0.883,0.066,0,0.004,0,0.002,0.044,0.032,57365,0.877,0.147
"0500000US17129","Menard","IL",12284,0.959,0.009,0,0.004,0,0.001,0.027,0.013,84846,0.95,0.259
"0500000US17131","Mercer","IL",15692,0.953,0.006,0,0.005,0,0.006,0.03,0.028,67028,0.924,0.179
"0500000US17133","Monroe","IL",34905,0.966,0.006,0.001,0.006,0,0.008,0.012,0.017,100685,0.957,0.379
"0500000US17135","Montgomery","IL",28352,0.936,0.028,0.001,0.005,0,0.005,0.026,0.019,61796,0.897,0.182
"0500000US17137","Morgan","IL",32882,0.888,0.051,0.001,0.008,0,0.007,0.045,0.027,61188,0.896,0.224
"0500000US17139","Moultrie","IL",14531,0.963,0.01,0,0.001,0,0.006,0.019,0.017,72833,0.864,0.207
"0500000US17141","Ogle","IL",51672,0.896,0.011,0.004,0.005,0,0.018,0.066,0.109,75782,0.913,0.234
"0500000US17143","Peoria","IL",181186,0.701,0.176,0.002,0.045,0,0.019,0.058,0.053,63409,0.929,0.337
"0500000US17145","Perry","IL",20996,0.87,0.079,0,0.006,0,0.013,0.032,0.032,56338,0.845,0.109
"0500000US17147","Piatt","IL",16698,0.96,0.01,0.001,0.001,0,0.002,0.026,0.015,81151,0.939,0.308
"0500000US17149","Pike","IL",14776,0.963,0.007,0,0.003,0.006,0.005,0.015,0.015,55514,0.91,0.181
"0500000US17151","Pope","IL",3799,0.901,0.033,0.03,0,0,0.001,0.035,0.031,57582,0.882,0.154
"0500000US17153","Pulaski","IL",5177,0.638,0.315,0,0.002,0,0,0.044,0.019,41038,0.881,0.145
"0500000US17155","Putnam","IL",5628,0.944,0.003,0,0.007,0.003,0.018,0.025,0.063,75726,0.936,0.235
"0500000US17157","Randolph","IL",30413,0.875,0.08,0.001,0.007,0.001,0.015,0.022,0.032,63860,0.86,0.137
"0500000US17159","Richland","IL",15716,0.948,0.006,0,0.003,0,0.016,0.027,0.018,61607,0.921,0.189
