test_data,ddhq_id,year,office_type,state,county,district,fips,dem_name,rep_name,ind_name,green_name,percent_precincts_reporting,dem_votes,rep_votes,ind_votes,green_votes,dem_votes_percent,rep_votes_percent,ind_votes_percent,green_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2012,Senate,MT,Yellowstone County,0,30111,,,,,100,32397,32051,,,47.1,46.6,,,346,0.5,,
,,2012,Senate,AZ,Apache County,0,04001,,,,,100,16455,7680,,,65.2,30.4,,,8775,34.8,,
,,2012,Senate,AZ,Cochise County,0,04003,,,,,100,18583,25078,,,40.6,54.8,,,-6495,-14.2,,
,,2012,Senate,AZ,Coconino County,0,04005,,,,,100,26361,17978,,,56.5,38.5,,,8383,18.0,,
,,2012,Senate,AZ,Gila County,0,04007,,,,,100,7700,11411,,,38.2,56.6,,,-3711,-18.4,,
,,2012,Senate,AZ,Graham County,0,04009,,,,,100,3771,7352,,,32.3,62.9,,,-3581,-30.6,,
,,2012,Senate,AZ,Greenlee County,0,04011,,,,,100,1341,1364,,,46.1,46.9,,,-23,-0.8,,
,,2012,Senate,AZ,La Paz County,0,04012,,,,,100,1707,2678,,,36.0,56.4,,,-971,-20.4,,
,,2012,Senate,AZ,Maricopa County,0,04013,,,,,100,534048,613556,,,44.4,51.0,,,-79508,-6.6,,
,,2012,Senate,AZ,Mohave County,0,04015,,,,,100,20251,41362,,,30.5,62.4,,,-21111,-31.9,,
,,2012,Senate,AZ,Navajo County,0,04017,,,,,100,16881,18224,,,46.0,49.6,,,-1343,-3.6,,
,,2012,Senate,AZ,Pima County,0,04019,,,,,100,193072,145623,,,55.2,41.6,,,47449,13.6,,
,,2012,Senate,AZ,Pinal County,0,04021,,,,,100,42714,52277,,,42.5,52.0,,,-9563,-9.5,,
,,2012,Senate,AZ,Santa Cruz County,0,04023,,,,,100,9454,3617,,,70.0,26.8,,,5837,43.2,,
,,2012,Senate,AZ,Yavapai County,0,04025,,,,,100,33625,56016,,,35.6,59.3,,,-22391,-23.7,,
,,2012,Senate,AZ,Yuma County,0,04027,,,,,100,17697,20243,,,45.4,52.0,,,-2546,-6.6,,
,,2012,Senate,UT,Beaver County,0,49001,,,,,100,432,1932,,,17.4,77.8,,,-1500,-60.4,,
,,2012,Senate,UT,Box Elder County,0,49003,,,,,100,3172,13949,,,17.7,78.0,,,-10777,-60.3,,
,,2012,Senate,UT,Cache County,0,49005,,,,,100,7459,27565,,,20.3,75.1,,,-20106,-54.8,,
,,2012,Senate,UT,Carbon County,0,49007,,,,,100,2690,4196,,,37.5,58.5,,,-1506,-21.0,,
,,2012,Senate,UT,Daggett County,0,49009,,,,,100,127,347,,,25.8,70.5,,,-220,-44.7,,
,,2012,Senate,UT,Davis County,0,49011,,,,,100,26868,80263,,,24.1,71.9,,,-53395,-47.8,,
,,2012,Senate,UT,Duchesne County,0,49013,,,,,100,816,5043,,,13.1,81.1,,,-4227,-68.0,,
,,2012,Senate,UT,Emery County,0,49015,,,,,100,882,3350,,,20.1,76.4,,,-2468,-56.3,,
,,2012,Senate,UT,Garfield County,0,49017,,,,,100,361,1655,,,17.0,78.1,,,-1294,-61.1,,
,,2012,Senate,UT,Grand County,0,49019,,,,,100,1677,1855,,,44.8,49.6,,,-178,-4.8,,
