office_type,district,state,county,fips,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2
President,0,AL,Franklin,059,-65.90872952774686,-8290,-60.8030112923463,-7269
President,0,AL,Geneva,061,-73.75846950976485,-9253,-72.43331332018184,-8445
President,0,AL,Greene,063,63.01570680628272,3009,65.15837104072398,3168
President,0,AL,Hale,065,18.896743246654886,1497,19.975031210986266,1600
President,0,AL,Henry,067,-43.03075930307593,-4001,-41.62404889609579,-3337
President,0,AL,Houston,069,-42.66779286596063,-19701,-47.6326433499881,-20020
President,0,AL,Jackson,071,-67.49449991538332,-15953,-62.44888140485927,-12980
President,0,AL,Jefferson,073,13.14876875107412,42845,7.227233713992231,20967
President,0,AL,Lamar,075,-72.23689698317808,-5196,-69.02322897128842,-4784
President,0,AL,Lauderdale,077,-44.66947833735538,-19806,-46.01035735449463,-17858
President,0,AL,Lawrence,079,-54.64412700392989,-8760,-48.697257744648844,-7121
President,0,AL,Lee,081,-20.099651499671094,-14361,-23.122008739682318,-13334
President,0,AL,Limestone,083,-42.58759012897329,-20968,-49.45177664974619,-19484
President,0,AL,Lowndes,085,45.8814923189466,3136,46.899340922708205,3131
President,0,AL,Macon,087,63.81978677060644,5567,66.79240969364426,5843
President,0,AL,Madison,089,-7.955146405705278,-15494,-16.7827782759464,-26764
President,0,AL,Marengo,091,1.3302752293577982,145,3.4983558640847643,383
President,0,AL,Marion,093,-77.80111537625842,-10742,-76.21592317224288,-9841
President,0,AL,Marshall,095,-68.71264657672425,-27248,-69.50950950950951,-24304
President,0,AL,Mobile,097,-11.884977397305148,-21769,-13.867688371779884,-22658
President,0,AL,Monroe,099,-15.860517435320585,-1692,-14.344624447717232,-1461
President,0,AL,Montgomery,101,31.489121334691696,31218,26.16102017510468,24741
President,0,AL,Morgan,103,-49.19772160381222,-26430,-52.36142505651017,-26176
President,0,AL,Perry,105,48.202676864244744,2521,46.051379638439585,2420
President,0,AL,Pickens,107,-16.259826230864707,-1572,-15.609858858226248,-1482
President,0,AL,Pike,109,-17.38313705657106,-2406,-20.284069097888676,-2642
President,0,AL,Randolph,111,-58.65091815077974,-6356,-53.37611056268509,-5407
President,0,AL,Russell,113,6.395048994326973,1364,1.917851170568562,367
President,0,AL,St. Clair,115,-63.954456470376456,-28422,-68.61111843319188,-26029
President,0,AL,Shelby,117,-40.39321444106133,-46432,-50.31751471655512,-49919
President,0,AL,Sumter,119,48.48195835320299,3050,49.413237365044594,3158
President,0,AL,Talladega,121,-25.508229818018673,-9097,-25.552411343247638,-8488
President,0,AL,Tallapoosa,123,-43.37096851031394,-9104,-41.591007349762215,-7696
President,0,AL,Tuscaloosa,125,-14.807257241715831,-13352,-19.526851715866254,-15955
President,0,AL,Walker,127,-67.91145332050048,-21168,-67.44178093902815,-19722
President,0,AL,Washington,129,-48.512843623253715,-4306,-43.15826660386246,-3665
President,0,AL,Wilcox,131,37.52329324072505,2215,42.526661197703035,2592
President,0,AL,Winston,133,-81.71747607231478,-9221,-81.4627011214042,-8354
President,0,AZ,Apache,001,33.68388142000398,11851,36.877646176108044,6881
President,0,AZ,Cochise,003,-19.554181204835217,-11825,-22.58557953044244,-9745
President,0,AZ,Coconino,005,24.0585717012516,17646,19.441785928910058,8735
President,0,AZ,Gila,007,-34.08483271912711,-9434,-32.3675109823348,-6926
President,0,AZ,Graham,009,-44.77860762870099,-6715,-39.5678029985761,-4724
President,0,AZ,Greenlee,011,-33.920824295010846,-1251,-24.668516805427075,-800
President,0,AZ,La Paz,012,-38.78016085790885,-2893,-41.83735550598256,-2063
President,0,AZ,Maricopa,013,2.1797315744331294,45109,-3.446528677947375,-41425
President,0,AZ,Mohave,015,-51.29076930423571,-53704,-51.45102373667255,-38171
President,0,AZ,Navajo,017,-8.253673985670973,-4274,-7.916066536756192,-2803
President,0,AZ,Pima,019,18.67034096037332,97223,13.479801087697707,48630
President,0,AZ,Pinal,021,-17.278165988423936,-31971,-19.31666755503438,-18120
President,0,AZ,Santa Cruz,023,35.49920760697306,6944,47.12582071552995,7034
President,0,AZ,Yavapai,025,-29.260887772194305,-41925,-31.4259538693684,-29157
President,0,AZ,Yuma,027,-6.183679890169608,-4324,-5.520253195613239,-2250
President,0,AR,Arkansas,001,-39.51048951048951,-2486,-30.582130695638075,-1886
President,0,AR,Ashley,003,-43.18697956093868,-3423,-36.501806403388564,-2930
President,0,AR,Baxter,005,-53.32032179749607,-11201,-53.60719395054159,-10492
President,0,AR,Benton,007,-26.449396223897526,-31716,-34.85710042222741,-32857
President,0,AR,Boone,009,-61.86747691948113,-10588,-58.44645550527903,-9300
President,0,AR,Bradley,011,-30.678708264915162,-1121,-23.389549350290295,-846
